office_legalname,office_name,officepublickey,office_addressline1,office_city,office_state,office_zip,office_phone,region_name,office_website,companypublickey,company_legalname,reason
Bean Group | Sebago,Sebago,12086847,1554 Richville Rd ,Standish,ME,04084,207-778-7244,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Bean Group | Standish,Standish,12087834,47 Ossipee Trail East ,Standish,ME,04084,207-764-2210,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Bean Group | Waterboro,Waterboro,12088821,397 Sokokis Trail ,East Waterboro,ME,04030,207-724-7323,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
Bean Group | Windham,Windham,12089808,887 Roosevelt Trail ,Windham,ME,04062,207-789-4572,Bean Group,,2842549,Bean Group,Parent company's companypublickey did not match with company table entries
MoxiWorks,Corporate Headquarters,9077484,815 Western Ave ,Seattle,WA,98104,,Northwest,www.moxiworks.com,1624333,MoxiWorks,Parent company's companypublickey did not match with company table entries
Test Office,Test Office,12447102, ,Seattle,WA,,,Regression_ECOMMADMIN_LICENSES,,2958532,Regression_ECOMMADMIN_LICENSES,"Office name was using the word test, Parent company's companypublickey did not match with company table entries"
Moxi Works Test 2,Mw - Pacific Ave,12612918, ,Tacoma,WA,,,Moxi Works Test 2,,3016918,MoxiWorks Test 2,Parent company's companypublickey did not match with company table entries
Downtown Manhattan Brokerage,Downtown Manhattan Brokerage,15739734,149 Fifth Avenue Fourth Floor,New York City,NY,10010,212-243-1244,Sotheby's International Realty,https://www.sothebyshomes.com/nyc/offices/downtown-manhattan-brokerage,3242572,Sotheby's International Realty,Parent company's companypublickey did not match with company table entries
B Side Properties Llc,B Side Properties,14744838, ,Austin,TX,78704,,B Side Properties,,3197599,B Side Properties LLC,Parent company's companypublickey did not match with company table entries
Keller Williams Realty,Keller Williams Realty,14745825,1030 Fletcher Pkwy ,El Cajon,CA,92020,,Keller Williams Realty -Cajon,,3198388,Keller Williams Realty -El Cajon,Parent company's companypublickey did not match with company table entries
Exp Realty,Exp Realty,15115950, ,Peoria,AZ,,,eXp Realty - Kelly Broaddus Real Estate Advisors,,3216535,eXp Realty - Kelly Broaddus Real Estate Advisors,Parent company's companypublickey did not match with company table entries
3534,3534,13122210,101 1st St ,Appleton City,VA,12345,,Moxi Works,,1624333,MoxiWorks,Parent company's companypublickey did not match with company table entries
Test Office,Test Office,15738747, ,Seattle,WA,98104,,Test Region,,1624333,MoxiWorks,"Office name was using the word test, Parent company's companypublickey did not match with company table entries"
Douglas Elliman Real Estate,Douglas Elliman Real Estate,13513062,1615 Murray Canyon Rd Ste 110 ,San Diego,CA,92108,,Teles Properties,,3188920,Douglas Elliman Real Estate,Parent company's companypublickey did not match with company table entries
Johns Island,Johns Island,15653865,3419 Maybank Hwy ,Johns Island,SC,29455,843-355-9020,Smoakhouse Properties,jimsmoak.com,3238627,Smoakhouse Properties,Parent company's companypublickey did not match with company table entries
Windermere/Test Office 1,Test Office 1,8427051,Main Street ,Seattle,WA,98104,123-345-6789,Western Washington,,1234567,Windermere Solutions LLC,Office name was using the word test
Pacific Union International,Brentwood,11417661,"11601 Wilshire Blvd., Suite 101 ",Los Angeles,CA,90025,310-082-0019,Pacific Union International,http://www.pacificunionla.com,2653189,Gibson International,Parent company's companypublickey did not match with company table entries
Carmel Realty Company,Carmel Realty Company,15084366, ,Carmel by the Sea,CA,,,Carmel Realty Company,,3211801,Carmel Realty Company,Parent company's companypublickey did not match with company table entries
Pacific Union International - Marina del,Marina Del Rey,12529023,"330 Washington Blvd, Suite D ",Marina Del Rey,CA,90292,310-030-1100,Pacific Union International,http://www.gibsonintl.com/offices/224-Marina-Del-Rey,2653189,Gibson International,Parent company's companypublickey did not match with company table entries
Pacific Union International - Pacific Pa,Pacific Palisades,12530010,"15207 Sunset Blvd Second Floor, Suite A",Pacific Palisades,CA,90272,310-049-6594,Pacific Union International,http://www.gibsonintl.com/offices/290-Pacific-Palisades,2653189,Gibson International,Parent company's companypublickey did not match with company table entries
Pacific Union International - Santa Moni,Santa Monica,12530997,1010 Montana Avenue ,Santa Monica,CA,90403,310-039-5709,Pacific Union International,http://www.gibsonintl.com/offices/1185-Santa-Monica,2653189,Gibson International,Parent company's companypublickey did not match with company table entries
Teles Properties,Teles Properties,14786292,1615 Murray Canyon #110 ,San Diego,CA,92108,858-834-4378,Teles – Douglas Elliman,,3201544,Teles – Douglas Elliman,Parent company's companypublickey did not match with company table entries
AVACAD Inc.,AVACAD Inc.,15125820,22431 ANTONIO PKWY B160 259,RANCHO SANTA MARGARITA,CA,92688,619-964-7651,AVACAD Inc.,,3218902,AVACAD Inc,Parent company's companypublickey did not match with company table entries
Nunn Better Orange Juice,Nunn Better Offices - That Place,15107067,123 yah ,Your face,WY,98123,,That place,,3213379,Corey Nunn and Associates,Parent company's companypublickey did not match with company table entries
Spyglass Realty and Investment,Spyglass Realty and Investment,15868044, ,Austin,TX,,,SpyGlass Realty and Investment,,3274132,SpyGlass Realty and Investment,Parent company's companypublickey did not match with company table entries
Publish Bug Bash,Publish Bug Bash,15786123, ,Seattle,WA,,,Moxi Works,,3139213,MoxiWorks LLC,Parent company's companypublickey did not match with company table entries
McMonigle Group Corp,McMonigle Group,14962965,3500 E. Pacific Coast Highway 110,Corona Del Mar,CA,92625,949-979-1816,McMonigle Group,,3207856,McMonigle Group Corp,Parent company's companypublickey did not match with company table entries
eXp Realty,eXp Realty,14985666,9600 Great Hillls Trail Ste 150W,Austin,TX,78759,,eXp Realty,,3211012,eXp Realty,Parent company's companypublickey did not match with company table entries
Test office,Test office,15119898,123 main street ,Edmonds,CA,48386,,Carrington Real Estate Services,,3207067,Carrington Real Estate,Office name was using the word test
QA Office,QA Office,13196235,815 Western Ave 300,Seattle,WA,98104,,Moxi Works,,1624333,MoxiWorks,Parent company's companypublickey did not match with company table entries
Moxi Works Headquarters,Moxi Works Headquarters,13095561,815 Western Ave Suite 300,Seattle,WA,98104,206-638-8478,Moxi Works,,3139213,MoxiWorks LLC,Parent company's companypublickey did not match with company table entries
Client Services,Client Services,11195586,815 Western Ave 300,Seattle,WA,98104,206-638-8478,Moxi Works,support.moxiworks.com,1624333,MoxiWorks,Parent company's companypublickey did not match with company table entries
Canter Brokerage,Canter Brokerage,13213014,655 West Broadway Suite 1650,San Diego,CA,92101,619-978-7676,Canter Brokerage,,3186553,Canter Brokerage,Parent company's companypublickey did not match with company table entries
Four Corners Real Estate Group,Four Corners Real Estate Group,13064964,717 San Benito Street ,Hollister,CA,95023,831-131-3314,West,www.fourcornersre.com,3125011,Pacific Oak Real Estate Services,Parent company's companypublickey did not match with company table entries
